pid,name,party,district,status,wiki_url
P002,青木 ひとみ,参政党,比例・北関東,現職,
P010,浅田 眞澄美,自民党,比例・九州,現職,
P016,阿部 圭史,日本維新の会,兵庫2,現職,
P030,石川 勝,参政党,比例・近畿,現職,
P031,石坂 太,自民党,栃木4,現職,
P034,石橋 林太郎,自民党,広島3,現職,
P036,石原 正敬,自民党,三重3,現職,
P038,一谷 勇一郎,日本維新の会,比例・近畿,現職,
P041,井戸 まさえ,国民民主党,比例・東京,現職,
P042,伊藤 恵介,参政党,比例・東海,現職,
P043,伊藤 聡,自民党,比例・南関東,現職,
P050,稲葉 大輔,自民党,静岡8,現職,
P051,犬飼 明佳,中道改革連合,比例・東海,現職,
P058,井原 隆,自民党,埼玉5,現職,
P060,今岡 植,自民党,東京26,現職,
P061,岩崎 比菜,自民党,比例・南関東,現職,
P066,上田 英俊,自民党,富山2,現職,
P069,上原 正裕,自民党,神奈川9,現職,
P071,宇佐美 登,チームみらい,比例・東京,現職,
P072,臼木 秀剛,国民民主党,比例・北海道,現職,
P073,内山 こう,自民党,新潟1,現職,
P079,衛藤 博昭,自民党,大分1,現職,
P085,大島 敦,中道改革連合,比例・北関東,現職,
P087,大塚 拓,自民党,埼玉9,現職,
P088,大西 洋平,自民党,東京16,現職,
P089,大野 敬太郎,自民党,香川3,現職,
P090,大森 江里子,中道改革連合,比例・東京,現職,
P091,緒方 林太郎,無所属,福岡9,現職,
P092,岡野 純子,国民民主党,比例・南関東,現職,
P093,岡本 三成,中道改革連合,比例・東京,現職,
P094,岡本 康宏,自民党,愛知5,現職,
P095,小川 淳也,中道改革連合,香川1,現職,
P096,奥下 剛光,日本維新の会,大阪7,現職,
P098,長田 紘一郎,自民党,比例・東海,現職,
P100,小竹 凱,国民民主党,比例・北陸信越,現職,
P103,鬼木 誠,自民党,福岡2,現職,
P104,小野寺 五典,自民党,宮城5,現職,
P105,尾花 瑛仁,自民党,埼玉6,現職,
P106,小渕 優子,自民党,群馬5,現職,
P107,尾身 朝子,自民党,比例・北関東,現職,
P108,河西 宏一,中道改革連合,比例・東京,現職,
P109,鹿嶋 祐介,自民党,千葉4,現職,
P110,梶山 弘志,自民党,茨城4,現職,
P111,柏倉 祐司,日本維新の会,比例・北関東,現職,
P112,勝俣 孝明,自民党,静岡6,現職,
P113,勝目 康,自民党,京都1,現職,
P114,門 寛子,自民党,東京8,現職,
P115,加藤 鮎子,自民党,山形3,現職,
P116,加藤 勝信,自民党,岡山3,現職,
P117,加藤 貴弘,自民党,北海道1,現職,
P118,加藤 大博,自民党,岐阜4,現職,
P119,加藤 竜祥,自民党,長崎2,現職,
P120,門山 宏哲,自民党,千葉1,現職,
P121,金澤 結衣,自民党,神奈川20,現職,
P122,金子 恵美,中道改革連合,比例・東北,現職,
P123,金子 恭之,自民党,熊本4,現職,
P124,金子 容三,自民党,長崎3,現職,
P125,金村 龍那,日本維新の会,比例・南関東,現職,
P128,川 裕一郎,参政党,比例・北陸信越,現職,
P129,河井 昭成,国民民主党,比例・近畿,現職,
P130,河合 道雄,チームみらい,比例・南関東,現職,
P133,河野 義博,中道改革連合,比例・九州,現職,
P134,川松 真一朗,自民党,東京23,現職,
P141,岸 信千世,自民党,山口2,現職,
P143,喜多 義典,日本維新の会,比例・中国,現職,
P145,木下 敏之,参政党,比例・九州,現職,
P149,金城 泰邦,中道改革連合,比例・九州,現職,
P150,草間 剛,自民党,神奈川19,現職,
P152,工藤 聖子,参政党,比例・南関東,現職,
P157,栗原 渉,自民党,福岡5,現職,
P158,黒崎 祐一,自民党,東京27,現職,
P159,黒田 征樹,日本維新の会,大阪16,現職,
P160,小池 正昭,自民党,千葉10,現職,
P165,こうらい啓一郎,自民党,比例・近畿,現職,
P172,許斐 亮太郎,国民民主党,比例・九州,現職,
P174,小林 修平,チームみらい,比例・南関東,現職,
P178,今 洋佑,自民党,比例・北陸信越,現職,
P180,近藤 雅彦,国民民主党,比例・九州,現職,
P181,斉木 武志,自民党,福井2,現職,
P182,西條 昌良,自民党,比例・北関東,現職,
P187,斉藤 りえ,自民党,比例・東海,現職,
P190,坂本 竜太郎,自民党,福島4,現職,
P193,佐々木 真琴,国民民主党,比例・東北,現職,
P195,佐藤 主迪,自民党,神奈川16,現職,
P203,島田 智明,自民党,比例・近畿,現職,
P204,島村 かおる,参政党,比例・中国,現職,
P207,白坂 亜紀,自民党,比例・九州,現職,
P216,鈴木 拓海,自民党,比例・北関東,現職,
P219,鈴木 美香,参政党,比例・東京,現職,
P221,須田 英太郎,チームみらい,比例・東海,現職,
P225,世古 万美子,自民党,比例・東海,現職,
P228,園崎 弘道,自民党,京都6,現職,
P234,高沢 一基,国民民主党,比例・東京,現職,
P236,高橋 祐介,自民党,北海道2,現職,
P237,高見 康裕,自民党,島根2,現職,
P238,高見 亮,日本維新の会,大阪2,現職,
P239,高山 聡史,チームみらい,比例・東京,現職,
P250,田中 昌史,自民党,比例・東京,現職,
P254,谷 浩一郎,参政党,比例・近畿,現職,
P259,田宮 寿人,自民党,千葉9,現職,
P262,俵田 祐児,自民党,比例・中国,現職,
P263,丹野 みどり,国民民主党,愛知11,現職,
P265,辻 秀樹,自民党,比例・東海,現職,
P266,辻 由布子,自民党,比例・東京,現職,
P268,土田 慎,自民党,東京13,現職,
P275,とかしきなおみ,自民党,比例・近畿,現職,
P278,永岡 桂子,自民党,比例・北関東,現職,
P279,中川こういち,自民党,北海道11,現職,
P280,中川 貴元,自民党,比例・東海,現職,
P281,中川 宏昌,中道改革連合,比例・北陸信越,現職,
